date,os,visits
2020-01-06,iOS,12282426
2020-01-07,(not set),16369
2020-01-07,Android,9812878
2020-01-07,BlackBerry,4109
2020-01-07,Chrome OS,747546
2020-01-07,Firefox OS,129
2020-01-07,FreeBSD,195
2020-01-07,Google TV,43
2020-01-07,Linux,429372
2020-01-07,Macintosh,4573704
2020-01-07,NetBSD,178
2020-01-07,Nintendo 3DS,55
2020-01-07,Nintendo WiiU,61
2020-01-07,OS/2,624
2020-01-07,OpenBSD,184
2020-01-07,Playstation 3,96
2020-01-07,Playstation 4,1291
2020-01-07,Playstation Vita,25
2020-01-07,Samsung,322
2020-01-07,Tizen,1848
2020-01-07,UNIX,52
2020-01-07,Windows,20575605
2020-01-07,Windows Phone,3382
2020-01-07,Xbox,1129
2020-01-07,iOS,12664875
2020-01-08,(not set),15137
2020-01-08,Android,9873850
2020-01-08,BlackBerry,3899
2020-01-08,Chrome OS,801106
2020-01-08,Firefox OS,141
2020-01-08,FreeBSD,165
2020-01-08,Google TV,53
2020-01-08,Linux,423473
2020-01-08,Macintosh,4574195
2020-01-08,NetBSD,190
2020-01-08,Nintendo 3DS,57
2020-01-08,Nintendo WiiU,69
2020-01-08,OS/2,681
2020-01-08,OpenBSD,178
2020-01-08,Playstation 3,106
2020-01-08,Playstation 4,1352
2020-01-08,Playstation Vita,41
2020-01-08,Samsung,359
2020-01-08,SunOS,12
2020-01-08,Tizen,1880
2020-01-08,UNIX,52
2020-01-08,Windows,20327541
2020-01-08,Windows Phone,3503
2020-01-08,Xbox,1176
2020-01-08,iOS,12778616
2020-01-09,(not set),16813
2020-01-09,Android,9612470
2020-01-09,BlackBerry,3676
2020-01-09,Chrome OS,866505
2020-01-09,Firefox OS,170
2020-01-09,FreeBSD,190
2020-01-09,Google TV,42
2020-01-09,Linux,424788
2020-01-09,Macintosh,4439056
2020-01-09,NetBSD,221
2020-01-09,Nintendo 3DS,74
2020-01-09,Nintendo WiiU,92
2020-01-09,OS/2,770
2020-01-09,OpenBSD,220
2020-01-09,Playstation 3,140
2020-01-09,Playstation 4,1349
2020-01-09,Playstation Vita,57
2020-01-09,Samsung,353
2020-01-09,SunOS,19
2020-01-09,Tizen,1765
2020-01-09,UNIX,38
2020-01-09,Windows,20135027
2020-01-09,Windows Phone,3707
2020-01-09,Xbox,1235
2020-01-09,iOS,12532277
2020-01-10,(not set),15394
2020-01-10,Android,9189233
2020-01-10,BlackBerry,3831
2020-01-10,Chrome OS,762301
2020-01-10,Firefox OS,188
2020-01-10,FreeBSD,197
2020-01-10,Google TV,59
2020-01-10,Linux,433284
2020-01-10,Macintosh,3985495
2020-01-10,NetBSD,210
2020-01-10,Nintendo 3DS,103
2020-01-10,Nintendo WiiU,102
2020-01-10,OS/2,805
2020-01-10,OpenBSD,244
2020-01-10,Playstation 3,129
2020-01-10,Playstation 4,1486
2020-01-10,Playstation Vita,47
2020-01-10,Samsung,326
2020-01-10,Tizen,2134
2020-01-10,UNIX,41
2020-01-10,Windows,18013125
2020-01-10,Windows Phone,3434
2020-01-10,Xbox,1351
2020-01-10,iOS,12110907
2020-01-11,(not set),13649
2020-01-11,Android,8274675
2020-01-11,BlackBerry,3752
2020-01-11,Chrome OS,238082
2020-01-11,Firefox OS,162
2020-01-11,FreeBSD,209
2020-01-11,Google TV,58
2020-01-11,Linux,369863
2020-01-11,Macintosh,2953146
2020-01-11,NetBSD,209
2020-01-11,Nintendo 3DS,100
2020-01-11,Nintendo WiiU,111
2020-01-11,OS/2,861
2020-01-11,OpenBSD,263
2020-01-11,Playstation 3,172
2020-01-11,Playstation 4,1589
2020-01-11,Playstation Vita,72
2020-01-11,Samsung,334
2020-01-11,SunOS,17
2020-01-11,Tizen,1944
2020-01-11,UNIX,36
2020-01-11,Windows,7813323
2020-01-11,Windows Phone,3483
2020-01-11,Xbox,1351
2020-01-11,iOS,10576293
2020-01-12,(not set),15026
2020-01-12,Android,7406812
2020-01-12,BlackBerry,3158
2020-01-12,Chrome OS,276076
2020-01-12,Firefox OS,113
2020-01-12,FreeBSD,208
2020-01-12,Google TV,47
2020-01-12,Linux,370712
2020-01-12,Macintosh,3212702
2020-01-12,NetBSD,259
2020-01-12,Nintendo 3DS,72
2020-01-12,Nintendo WiiU,70
2020-01-12,OS/2,659
2020-01-12,OpenBSD,282
2020-01-12,Playstation 3,124
2020-01-12,Playstation 4,1449
2020-01-12,Playstation Vita,48
2020-01-12,Samsung,298
2020-01-12,Tizen,2003
2020-01-12,UNIX,45
2020-01-12,Windows,7946920
2020-01-12,Windows Phone,3073
2020-01-12,Xbox,1079
2020-01-12,iOS,8983893
2020-01-13,(not set),15311
2020-01-13,Android,9502276
2020-01-13,BlackBerry,3752
2020-01-13,Chrome OS,855014
2020-01-13,Firefox OS,115
2020-01-13,FreeBSD,207
2020-01-13,Google TV,47
2020-01-13,Linux,478154
2020-01-13,Macintosh,4893259
2020-01-13,NetBSD,196
2020-01-13,Nintendo 3DS,46
2020-01-13,Nintendo WiiU,61
2020-01-13,OS/2,749
2020-01-13,OpenBSD,242
2020-01-13,Playstation 3,118
2020-01-13,Playstation 4,1311
2020-01-13,Playstation Vita,46
2020-01-13,Samsung,333
2020-01-13,SunOS,16
2020-01-13,Tizen,1963
2020-01-13,UNIX,49
2020-01-13,Windows,21228926
2020-01-13,Windows Phone,3459
2020-01-13,Xbox,1124
2020-01-13,iOS,12309663
2020-01-14,(not set),15513
2020-01-14,Android,9348661
2020-01-14,BlackBerry,3899
2020-01-14,Chrome OS,895227
2020-01-14,Firefox OS,201
2020-01-14,FreeBSD,192
2020-01-14,Google TV,40
2020-01-14,Linux,463272
2020-01-14,Macintosh,4819910
2020-01-14,NetBSD,126
2020-01-14,Nintendo 3DS,44
2020-01-14,Nintendo WiiU,68
2020-01-14,OS/2,801
2020-01-14,OpenBSD,155
2020-01-14,Playstation 3,109
2020-01-14,Playstation 4,1258
2020-01-14,Playstation Vita,36
2020-01-14,Samsung,299
2020-01-14,SunOS,14
2020-01-14,Tizen,1881
2020-01-14,UNIX,45
2020-01-14,Windows,21069920
2020-01-14,Windows Phone,3437
2020-01-14,Xbox,1107
2020-01-14,iOS,12231066
2020-01-15,(not set),16410
2020-01-15,Android,9666104
2020-01-15,BlackBerry,3896
2020-01-15,Chrome OS,900984
2020-01-15,Firefox OS,194
2020-01-15,FreeBSD,209
2020-01-15,Google TV,41
2020-01-15,Linux,458982
2020-01-15,Macintosh,4856469
2020-01-15,NetBSD,110
2020-01-15,Nintendo 3DS,52
2020-01-15,Nintendo WiiU,85
2020-01-15,OS/2,727
2020-01-15,OpenBSD,121
2020-01-15,Playstation 3,114
2020-01-15,Playstation 4,1313
2020-01-15,Playstation Vita,47
2020-01-15,Samsung,323
2020-01-15,SunOS,18
2020-01-15,Tizen,2078
2020-01-15,Windows,21026410
2020-01-15,Windows Phone,3480
2020-01-15,Xbox,1190
2020-01-15,iOS,12789516
2020-01-16,(not set),18323
2020-01-16,Android,9661939
2020-01-16,BlackBerry,4069
2020-01-16,Chrome OS,902456
2020-01-16,Firefox OS,227
2020-01-16,FreeBSD,174
2020-01-16,Google TV,59
2020-01-16,Linux,457334
2020-01-16,Macintosh,4682586
2020-01-16,NetBSD,86
2020-01-16,Nintendo 3DS,46
2020-01-16,Nintendo WiiU,74
2020-01-16,OS/2,747
2020-01-16,OpenBSD,156
2020-01-16,Playstation 3,144
2020-01-16,Playstation 4,1475
2020-01-16,Playstation Vita,59
2020-01-16,Samsung,375
2020-01-16,SunOS,15
2020-01-16,Tizen,2028
2020-01-16,Windows,20610328
2020-01-16,Windows Phone,3367
2020-01-16,Xbox,1232
2020-01-16,iOS,12756473
2020-01-17,(not set),15980
2020-01-17,Android,9048213
2020-01-17,BlackBerry,3880
2020-01-17,Chrome OS,706624
2020-01-17,Firefox OS,229
2020-01-17,FreeBSD,192
2020-01-17,Google TV,49
2020-01-17,Linux,439929
2020-01-17,Macintosh,4017566
2020-01-17,NetBSD,206
2020-01-17,Nintendo 3DS,59
2020-01-17,Nintendo WiiU,73
2020-01-17,OS/2,776
2020-01-17,OpenBSD,287
2020-01-17,Playstation 3,138
2020-01-17,Playstation 4,1474
2020-01-17,Playstation Vita,44
2020-01-17,Samsung,309
2020-01-17,SunOS,19
2020-01-17,Tizen,2071
2020-01-17,UNIX,21
2020-01-17,Windows,17468912
2020-01-17,Windows Phone,3161
2020-01-17,Xbox,1104
2020-01-17,iOS,11894258
2020-01-18,(not set),15336
2020-01-18,Android,7937076
2020-01-18,BlackBerry,3416
2020-01-18,Chrome OS,230619
2020-01-18,Firefox OS,204
2020-01-18,FreeBSD,165
2020-01-18,Google TV,49
2020-01-18,Linux,357572
2020-01-18,Macintosh,2932537
2020-01-18,NetBSD,234
2020-01-18,Nintendo 3DS,58
2020-01-18,Nintendo WiiU,65
2020-01-18,OS/2,714
2020-01-18,OpenBSD,268
2020-01-18,Playstation 3,115
2020-01-18,Playstation 4,1411
2020-01-18,Playstation Vita,44
2020-01-18,Samsung,339
2020-01-18,Tizen,1984
2020-01-18,Windows,7724396
2020-01-18,Windows Phone,3158
2020-01-18,Xbox,1108
2020-01-18,iOS,9971039
2020-01-19,(not set),16719
2020-01-19,Android,7131848
2020-01-19,BlackBerry,2853
2020-01-19,Chrome OS,228768
2020-01-19,Firefox OS,149
2020-01-19,FreeBSD,156
2020-01-19,Google TV,46
2020-01-19,Linux,354559
2020-01-19,Macintosh,2987420
2020-01-19,NetBSD,310
2020-01-19,Nintendo 3DS,53
2020-01-19,Nintendo WiiU,62
2020-01-19,OS/2,635
2020-01-19,OpenBSD,364
2020-01-19,Playstation 3,122
2020-01-19,Playstation 4,1296
2020-01-19,Playstation Vita,40
2020-01-19,Samsung,314
2020-01-19,Tizen,2244
2020-01-19,Windows,7512600
2020-01-19,Windows Phone,2847
2020-01-19,Xbox,1073
2020-01-19,iOS,8436908
2020-01-20,(not set),18192
2020-01-20,Android,8490367
2020-01-20,BlackBerry,3247
2020-01-20,Chrome OS,370131
2020-01-20,Firefox OS,123
2020-01-20,FreeBSD,203
2020-01-20,Google TV,40
2020-01-20,Linux,434479
2020-01-20,Macintosh,4141076
2020-01-20,NetBSD,372
2020-01-20,Nintendo 3DS,51
2020-01-20,Nintendo WiiU,69
2020-01-20,OS/2,781
2020-01-20,OpenBSD,402
2020-01-20,Playstation 3,107
2020-01-20,Playstation 4,1388
2020-01-20,Playstation Vita,39
2020-01-20,Samsung,297
2020-01-20,SunOS,12
2020-01-20,Tizen,2085
2020-01-20,Windows,14825165
2020-01-20,Windows Phone,2973
2020-01-20,Xbox,1086
2020-01-20,iOS,10451724
2020-01-21,(not set),20535
2020-01-21,Android,10275384
2020-01-21,BlackBerry,3814
2020-01-21,Chrome OS,852865
2020-01-21,Firefox OS,174
2020-01-21,FreeBSD,202
2020-01-21,Google TV,40
2020-01-21,Linux,480219
2020-01-21,Macintosh,5061234
2020-01-21,NetBSD,236
2020-01-21,Nintendo 3DS,50
2020-01-21,Nintendo WiiU,46
2020-01-21,OS/2,866
2020-01-21,OpenBSD,267
2020-01-21,Playstation 3,102
2020-01-21,Playstation 4,1404
2020-01-21,Playstation Vita,38
2020-01-21,Samsung,334
2020-01-21,SunOS,23
2020-01-21,Tizen,1967
2020-01-21,Windows,21622390
2020-01-21,Windows Phone,3263
2020-01-21,Xbox,1231
2020-01-21,iOS,13413355
2020-01-22,(not set),20348
2020-01-22,Android,10191335
2020-01-22,BlackBerry,3730
2020-01-22,Chrome OS,884341
2020-01-22,Firefox OS,210
2020-01-22,FreeBSD,184
2020-01-22,Google TV,49
2020-01-22,Linux,465828
2020-01-22,Macintosh,4966324
2020-01-22,NetBSD,208
2020-01-22,Nintendo 3DS,52
2020-01-22,Nintendo WiiU,65
2020-01-22,OS/2,805
2020-01-22,OpenBSD,227
2020-01-22,Playstation 3,111
2020-01-22,Playstation 4,1417
2020-01-22,Playstation Vita,46
2020-01-22,Samsung,328
2020-01-22,SunOS,17
2020-01-22,Tizen,1981
2020-01-22,Windows,21169376
2020-01-22,Windows Phone,3363
2020-01-22,Xbox,1318
2020-01-22,iOS,13232894
2020-01-23,(not set),22012
2020-01-23,Android,10243720
2020-01-23,BlackBerry,3953
2020-01-23,Chrome OS,902892
2020-01-23,Firefox OS,170
2020-01-23,FreeBSD,194
2020-01-23,Google TV,47
2020-01-23,Linux,466179
2020-01-23,Macintosh,4787013
2020-01-23,NetBSD,212
2020-01-23,Nintendo 3DS,42
2020-01-23,Nintendo WiiU,82
2020-01-23,OS/2,746
2020-01-23,OpenBSD,286
2020-01-23,Playstation 3,118
2020-01-23,Playstation 4,1423
2020-01-23,Playstation Vita,45
2020-01-23,Samsung,332
2020-01-23,SunOS,22
2020-01-23,Tizen,2028
2020-01-23,Windows,20505333
2020-01-23,Windows Phone,3246
2020-01-23,Xbox,1232
2020-01-23,iOS,13209701
2020-01-24,(not set),22460
2020-01-24,Android,9717854
2020-01-24,BlackBerry,4018
2020-01-24,Chrome OS,747078
2020-01-24,Firefox OS,167
2020-01-24,FreeBSD,184
2020-01-24,Google TV,32
2020-01-24,Linux,453668
2020-01-24,Macintosh,4127598
2020-01-24,NetBSD,280
2020-01-24,Nintendo 3DS,36
2020-01-24,Nintendo WiiU,68
2020-01-24,OS/2,794
2020-01-24,OpenBSD,321
2020-01-24,Playstation 3,122
2020-01-24,Playstation 4,1301
2020-01-24,Playstation Vita,40
2020-01-24,Samsung,295
2020-01-24,SunOS,12
2020-01-24,Tizen,1817
2020-01-24,Windows,17861254
2020-01-24,Windows Phone,3008
2020-01-24,Xbox,1282
2020-01-24,iOS,12660040
